RXO2	RT2	AC2	CNL2	DEN2	CAL2	GR2	相对重心	变差方差根	平均中位数	平均斜率	标签
0.449	0.451	0.19	0.187	0.424	0.174	0.352	0.524234423	0.075676609	0.373038462	0.070197802	7
0.457	0.461	0.17	0.185	0.433	0.171	0.367	0.524234423	0.075676609	0.373038462	0.070197802	7
0.469	0.478	0.17	0.177	0.449	0.169	0.381	0.524234423	0.075676609	0.373038462	0.070197802	7
0.474	0.486	0.151	0.171	0.453	0.166	0.384	0.524234423	0.075676609	0.373038462	0.070197802	7
0.484	0.502	0.135	0.16	0.449	0.159	0.387	0.524234423	0.075676609	0.373038462	0.070197802	7
0.501	0.521	0.129	0.147	0.439	0.148	0.394	0.524234423	0.075676609	0.373038462	0.070197802	7
0.513	0.534	0.134	0.139	0.435	0.141	0.399	0.524234423	0.075676609	0.373038462	0.070197802	7
0.541	0.562	0.149	0.128	0.444	0.125	0.415	0.524234423	0.075676609	0.373038462	0.070197802	7
0.582	0.607	0.187	0.113	0.456	0.101	0.316	0.524234423	0.075676609	0.373038462	0.070197802	5
0.545	0.566	0.206	0.105	0.421	0.089	0.231	0.334181637	0.089840994	0.086964286	-0.116852747	5
0.51	0.528	0.225	0.102	0.408	0.088	0.203	0.334181637	0.089840994	0.086964286	-0.116852747	4
0.422	0.434	0.225	0.094	0.421	0.101	0.182	0.334181637	0.089840994	0.086964286	-0.116852747	4
0.349	0.36	0.243	0.08	0.496	0.154	0.158	0.334181637	0.089840994	0.086964286	-0.116852747	4
0.346	0.358	0.237	0.082	0.531	0.187	0.095	0.334181637	0.089840994	0.086964286	-0.116852747	4
0.349	0.361	0.228	0.086	0.537	0.201	0.056	0.334181637	0.089840994	0.086964286	-0.116852747	6
0.363	0.375	0.221	0.096	0.531	0.219	0.005	0.334181637	0.089840994	0.086964286	-0.116852747	6
0.392	0.405	0.221	0.103	0.517	0.204	0	0.334181637	0.089840994	0.086964286	-0.116852747	6
0.41	0.425	0.219	0.107	0.51	0.177	0.006	0.334181637	0.089840994	0.086964286	-0.116852747	5
0.445	0.463	0.222	0.118	0.503	0.102	0.02	0.334181637	0.089840994	0.086964286	-0.116852747	5
0.465	0.489	0.229	0.127	0.506	0.094	0.043	0.334181637	0.089840994	0.086964286	-0.116852747	5
0.469	0.496	0.235	0.128	0.51	0.096	0.062	0.334181637	0.089840994	0.086964286	-0.116852747	5
0.468	0.5	0.235	0.124	0.512	0.098	0.102	0.334181637	0.089840994	0.086964286	-0.116852747	5
0.449	0.484	0.24	0.117	0.508	0.095	0.121	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.433	0.468	0.244	0.116	0.504	0.127	0.116	0.459992449	0.031275294	0.066022727	-0.012444946	5
0.4	0.43	0.249	0.12	0.497	0.19	0.084	0.459992449	0.031275294	0.066022727	-0.012444946	4
